go-name	term	setsize	num.sig	fdr	pval	direction	median_z_target	median_z_bg	expected	target_dist	background_dist
cytoplasmic side of membrane	GO:0098562	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ATPase dependent transmembrane transport complex	GO:0098533	27	27	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cell projection	GO:0042995	4	4	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
outer membrane	GO:0019867	53	53	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
extrinsic component of membrane	GO:0019898	16	16	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
extrinsic component of plasma membrane	GO:0019897	14	14	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cytosolic part	GO:0044445	72	72	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
intracellular organelle part	GO:0044446	60	60	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
external encapsulating structure part	GO:0044462	50	50	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
organelle part	GO:0044422	65	65	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cell outer membrane	GO:0009279	50	50	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ATP-binding cassette (ABC) transporter complex	GO:0043190	25	25	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
small ribosomal subunit	GO:0015935	24	24	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
large ribosomal subunit	GO:0015934	31	31	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
intracellular organelle	GO:0043229	73	73	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
organelle	GO:0043226	77	77	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
non-membrane-bounded organelle	GO:0043228	72	72	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
intrinsic component of cell outer membrane	GO:0031230	19	19	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
intracellular non-membrane-bounded organelle	GO:0043232	68	68	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
protein complex	GO:0043234	108	108	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ribosome	GO:0005840	56	56	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
intracellular ribonucleoprotein complex	GO:0030529	57	57	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cell surface	GO:0009986	13	13	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
external side of plasma membrane	GO:0009897	12	12	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cytoplasmic side of plasma membrane	GO:0009898	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
envelope	GO:0031975	144	144	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
periplasmic space	GO:0042597	101	101	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
transporter complex	GO:1990351	34	34	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0055052	11	11	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ribosomal subunit	GO:0044391	55	55	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
