go-name	term	setsize	num.sig	fdr	pval	direction	median_z_target	median_z_bg	expected	target_dist	background_dist
organelle part	GO:0044422	67	67	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cell outer membrane	GO:0009279	54	54	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ATP-binding cassette (ABC) transporter complex	GO:0043190	46	46	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
small ribosomal subunit	GO:0015935	24	24	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
large ribosomal subunit	GO:0015934	31	31	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
intracellular organelle	GO:0043229	76	76	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
organelle	GO:0043226	80	80	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
non-membrane-bounded organelle	GO:0043228	74	74	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
intrinsic component of cell outer membrane	GO:0031230	19	19	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
intracellular non-membrane-bounded organelle	GO:0043232	70	70	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
protein complex	GO:0043234	142	142	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ribosome	GO:0005840	56	56	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
intracellular ribonucleoprotein complex	GO:0030529	57	57	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cell surface	GO:0009986	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
external side of plasma membrane	GO:0009897	14	14	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cytoplasmic side of plasma membrane	GO:0009898	16	16	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
envelope	GO:0031975	164	164	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
periplasmic space	GO:0042597	119	119	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
transporter complex	GO:1990351	55	55	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0055052	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ribosomal subunit	GO:0044391	55	55	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
